INSTNM,CITY,STABBR,LATITUDE,LONGITUDE,SAT_AVG,UGDS,UG,COSTT4_A,COSTT4_P,UNEMP_RATE,MN_EARN_WNE_P10
ITT Technical Institute-Arlington Heights,Arlington Heights,IL,42.14508,-88.006221,NULL,233,418,26803,NULL,3.410000086,42800
Northwestern College-Southwestern Campus,Bridgeview,IL,41.733553,-87.819485,NULL,737,744,31627,NULL,5.829999924,31800
Tulsa Technology Center-Lemley Campus,Tulsa,OK,36.112649,-95.888105,NULL,1287,243,NULL,21318,3.25,39700
Tulsa Technology Center-Riverside Campus,Tulsa,OK,36.033552,-95.982632,NULL,666,NULL,NULL,10738,3.25,39700
Tulsa Technology Center-Broken Arrow Campus,Broken Arrow,OK,36.002854,-95.836904,NULL,734,398,NULL,14389,3.25,39700
Douglas J Aveda Institute,East Lansing,MI,42.735042,-84.48049,NULL,826,110,NULL,23451,2.940000057,28600
ITT Technical Institute-Troy,Troy,MI,42.562582,-83.117242,NULL,466,607,26840,NULL,3.839999914,42800
Ross Medical Education Center-Brighton,Brighton,MI,42.544378,-83.798085,NULL,131,18,NULL,20802,2.609999895,23000
Ross Medical Education Center-Ann Arbor,Ann Arbor,MI,42.253094,-83.667045,NULL,126,12,NULL,22862,2.609999895,23000
Taylortown School of Beauty Inc,Taylor,MI,42.255736,-83.25932,NULL,172,31,NULL,19267,3.75999999,PrivacySuppressed
Pike-Lincoln Technical Center,Eolia,MO,39.246069,-91.020347,NULL,22,32,NULL,NULL,3,29200
Pennsylvania Institute of Health and Technology,Mount Braddock,PA,39.945486,-79.645935,NULL,104,153,20077,NULL,4.050000191,22800
Skyline College-Roanoke,Roanoke,VA,37.319719,-79.959442,NULL,191,379,24753,NULL,2.789999962,30900
Bethel Seminary-San Diego,San Diego,CA,32.765189,-117.066378,NULL,NULL,NULL,NULL,NULL,2.460000038,50500
St Charles Community College,Cottleville,MO,38.760425,-90.640147,NULL,6565,5565,7200,NULL,2.940000057,35100
Brandman University,Irvine,CA,33.655684,-117.768624,NULL,3755,2168,19925,NULL,4,NULL
New College of Florida,Sarasota,FL,27.384925,-82.55858,1274,834,NULL,19858,NULL,2.890000105,PrivacySuppressed
Arizona Academy of Beauty-North,Tucson,AZ,32.28066,-110.978064,NULL,49,32,NULL,17697,3.559999943,19900
Empire Beauty School-Prescott,Prescott,AZ,34.540805,-112.473817,NULL,72,27,NULL,16188,2.960000038,24300
Le Cordon Bleu College of Culinary Arts-Scottsdale,Scottsdale,AZ,33.502546,-111.90647,NULL,1566,602,21896,NULL,3.720000029,36600
Conservatory of Recording Arts and Sciences,Tempe,AZ,33.407853,-111.889544,NULL,673,225,NULL,28055,3.25,40200
Adrian's College of Beauty Turlock,Turlock,CA,37.492628,-120.863441,NULL,133,62,NULL,16348,NULL,12900
California Career School,Anaheim,CA,33.819073,-117.906418,NULL,136,NULL,NULL,NULL,4.369999886,PrivacySuppressed
Rolf Institute of Structural Integration,Boulder,CO,40.06632,-105.203081,NULL,61,NULL,NULL,NULL,NULL,NULL
Heritage College-Denver,Denver,CO,39.78261,-105.061601,NULL,482,271,NULL,22037,3.420000076,25500
Empire Beauty School-Highland,Louisville,KY,38.239623,-85.722659,NULL,48,35,NULL,16377,3.430000067,22200
Sunstate Academy,Fort Myers,FL,26.595777,-81.868291,NULL,342,66,NULL,36257,2.50999999,23100
Elizabeth Grady School of Esthetics and Massage Therapy,Medford,MA,42.415599,-71.126566,NULL,183,57,NULL,12366,2.700000048,32700
Ross Medical Education Center-Port Huron,Port Huron,MI,43.015077,-82.447609,NULL,77,39,NULL,23043,4.260000229,21100
Capri Institute of Hair Design-Clifton,Clifton,NJ,40.887599,-74.150342,NULL,241,137,NULL,24106,4.820000172,28000
Raphael's School of Beauty Culture Inc-Alliance,Alliance,OH,40.902642,-81.152086,NULL,110,44,NULL,12950,2.890000105,PrivacySuppressed
Metro Technology Centers,Oklahoma City,OK,35.512549,-97.478182,NULL,1106,434,NULL,16962,3.589999914,35000
Heald College-Roseville,Roseville,CA,38.754587,-121.264779,NULL,1045,1048,25578,NULL,3.829999924,35800
Daymar College-Bowling Green,Bowling Green,KY,36.964788,-86.475007,NULL,239,304,26443,NULL,3.680000067,24500
Everest College-Everett,Everett,WA,47.909321,-122.220176,NULL,410,345,24864,NULL,4.340000153,28800
Luna Community College,Las Vegas,NM,35.622508,-105.257371,NULL,754,973,10565,NULL,5.150000095,28200
Grabber School of Hair Design,St. Louis,MO,38.55748,-90.390981,NULL,156,88,NULL,15174,3.019999981,26400
Yeshivah Gedolah Rabbinical College,Miami Beach,FL,25.782409,-80.141029,NULL,52,NULL,NULL,NULL,4.260000229,PrivacySuppressed
University of the District of Columbia-David A Clarke School of Law,Washington,DC,38.94614,-77.065191,NULL,NULL,NULL,NULL,NULL,6.840000153,38400
Raphael's School of Beauty Culture Inc-Brunswick,Brunswick,OH,41.240193,-81.804457,NULL,57,66,NULL,15405,NULL,14800
Caribbean University-Ponce,Ponce,PR,18.012811,-66.614615,NULL,1037,552,8438,NULL,8.090000153,20500
Caribbean University-Vega Baja,Vega Baja,PR,18.444882,-66.403121,NULL,460,364,9027,NULL,8.090000153,20500
University of Advancing Technology,Tempe,AZ,33.377712,-111.976087,NULL,784,925,32809,NULL,3.279999971,53500
Paradise Valley Community College,Phoenix,AZ,33.652135,-112.009865,NULL,6515,7000,12089,NULL,2.769999981,38100
Chandler-Gilbert Community College,Chandler,AZ,33.293897,-111.795922,NULL,10842,6217,12006,NULL,2.690000057,45400
HSHS St. John's Hospital School of Clinical Laboratory Science,Springfield,IL,39.804756,-89.644576,NULL,6,3,NULL,NULL,2.470000029,PrivacySuppressed
Madison Media Institute,Madison,WI,43.059295,-89.293742,NULL,371,233,24698,NULL,2.980000019,29000
Sanford-Brown Institute-White Plains,White Plains,NY,41.027865,-73.745206,NULL,47,208,NULL,NULL,4.090000153,30600
Sanford-Brown Institute-Garden City,Garden City,NY,40.733453,-73.608238,NULL,717,354,NULL,21671,3.779999971,34100
Great Plains Technology Center,Lawton,OK,34.593953,-98.447017,NULL,240,234,NULL,13942,3.690000057,34300
Roane-Jackson Technical Center,Leroy,WV,38.82209,-81.5611,NULL,33,69,NULL,9345,5.139999866,26900
Total Cosmetology Training Center,Spokane,WA,47.715686,-117.391778,NULL,67,NULL,NULL,17379,NULL,PrivacySuppressed
Pioneer Technology Center,Ponca City,OK,36.72772,-97.093516,NULL,132,82,NULL,8449,4.380000114,23000
Portage Lakes Career Center,Uniontown,OH,40.943122,-81.472008,NULL,102,73,NULL,13771,3.190000057,28200
Eastern College of Health Vocations-New Orleans,New Orleans,LA,29.943613,-90.181626,NULL,153,453,NULL,14540,4.429999828,19500
Bell Mar Beauty College,Cicero,IL,41.850669,-87.767083,NULL,76,59,NULL,13515,5.210000038,19900
Cannella School of Hair Design-Chicago,Chicago,IL,41.909626,-87.732314,NULL,50,123,NULL,9501,6.570000172,19300
Caddo Kiowa Technology Center,Fort Cobb,OK,35.10746,-98.442546,NULL,187,311,NULL,10102,4.690000057,25000
Brightwood College-San Antonio-San Pedro,San Antonio,TX,29.512822,-98.497103,NULL,574,734,NULL,26013,5.150000095,25400
Center for Instruction Technology & Innovation (CiTi),Mexico,NY,43.457841,-76.259308,NULL,95,42,NULL,18111,5.71999979,31400
Le Cordon Bleu College of Culinary Arts-Austin,Austin,TX,30.40077,-97.7217,NULL,643,92,20145,NULL,3.190000057,35300
The Art Institute of New York City,New York,NY,40.754972,-73.988506,NULL,898,1281,29996,NULL,5.659999847,33400
Paris II Educational Center,Gladstone,MO,39.218433,-94.576139,NULL,101,93,NULL,14020,3.339999914,21400
International School of Skin Nailcare & Massage Therapy,Atlanta,GA,33.906213,-84.378337,NULL,293,264,NULL,26724,3.349999905,27700
Palomar Institute of Cosmetology,San Marcos,CA,33.136352,-117.188529,NULL,121,117,NULL,16461,3.190000057,24800
Southern Oklahoma Technology Center,Ardmore,OK,34.185397,-97.083164,NULL,131,172,NULL,7924,3.289999962,27900
Vista College,El Paso,TX,31.786918,-106.411961,NULL,2951,204,21128,NULL,5.590000153,23900
Autry Technology Center,Enid,OK,36.419122,-97.89719,NULL,303,208,NULL,17852,3.059999943,31600
Greene County Vocational School District,Xenia,OH,39.769591,-83.946096,NULL,33,778,NULL,13499,3.25,25400
Canadian Valley Technology Center,El Reno,OK,35.509208,-97.881967,NULL,385,198,NULL,6644,3.069999933,29200
Wilkes-Barre Area Career and Technical Center Practical Nursing,Wilkes Barre,PA,41.262154,-75.810121,NULL,116,68,NULL,18384,3.400000095,34300
Mayo Graduate School,Rochester,MN,44.020617,-92.466919,NULL,NULL,NULL,NULL,NULL,2.74000001,59200
Meridian Technology Center,Stillwater,OK,36.106981,-97.108414,NULL,318,662,NULL,13791,3.200000048,26100
Waynesville Career Center,Waynesville,MO,37.817383,-92.213802,NULL,54,40,NULL,22216,3.140000105,PrivacySuppressed
Connecticut Institute of Hair Design,Wolcott,CT,41.555644,-72.9558,NULL,24,13,NULL,13730,4.300000191,PrivacySuppressed
Capitol School of Hairstyling and Esthetics,Omaha,NE,41.20965,-96.082351,NULL,116,101,NULL,16181,2.289999962,25300
Morris County Vocational School District,Denville,NJ,40.877531,-74.479263,NULL,50,0,NULL,15370,2.690000057,PrivacySuppressed
Ross Medical Education Center-Roosevelt Park,Roosevelt Park,MI,43.19252,-86.266824,NULL,169,42,NULL,21134,4.260000229,21100
Ross Medical Education Center-Kentwood,Kentwood,MI,42.880826,-85.60621,NULL,221,25,NULL,21171,3.410000086,23100
South Florida Bible College and Theological Seminary,Deerfield Beach,FL,26.30355,-80.092381,NULL,92,NULL,16690,NULL,NULL,NULL
Cloyd's Barber School 2 Inc,Monroe,LA,32.484321,-92.091773,NULL,25,27,NULL,6255,6.659999847,PrivacySuppressed
Universal Technical Institute of Illinois Inc,Lisle,IL,41.80725,-88.104241,NULL,1403,1407,NULL,20901,3.779999971,45700
Pennsylvania College of Technology,Williamsport,PA,41.2369,-77.0265,NULL,5565,5320,28216,NULL,3.160000086,43200
Commonwealth Institute of Funeral Service,Houston,TX,29.98955,-95.43016,NULL,228,147,26662,NULL,4.010000229,38500
Delta College of Arts & Technology,Baton Rouge,LA,30.463619,-91.113841,NULL,414,249,NULL,21591,4.510000229,28200
InterCoast Colleges-Orange,Orange,CA,33.789372,-117.893486,NULL,56,283,NULL,28253,4.909999847,26100
Stone Child College,Box Elder,MT,48.300808,-109.868119,NULL,259,38,12706,NULL,15.35999966,23400
New York Academy of Art,New York,NY,40.718388,-74.006019,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Suffolk County Community College,Selden,NY,40.848963,-73.056165,NULL,22222,NULL,10254,NULL,2.819999933,40700
Las Positas College,Livermore,CA,37.709623,-121.804948,NULL,8144,6960,10573,NULL,2.769999981,37400
Blades School of Hair Design,California,MD,38.288782,-76.484661,NULL,99,56,NULL,18749,3.029999971,PrivacySuppressed
Ogeechee Technical College,Statesboro,GA,32.395767,-81.818517,NULL,2217,1764,13967,NULL,4.760000229,23700
Remington College-Mobile Campus,Mobile,AL,30.671139,-88.145035,NULL,518,578,25569,NULL,4.730000019,26700
Everest College-Aurora,Aurora,CO,39.681237,-104.822034,NULL,328,1114,26845,NULL,3.920000076,27900
Southern Technical College,Fort Myers,FL,26.595795,-81.877223,NULL,1258,946,19649,NULL,2.849999905,27100
Mercy-St Luke's School of Radiologic Technology,Cedar Rapids,IA,41.985552,-91.660609,NULL,23,19,NULL,NULL,NULL,NULL
ITT Technical Institute-Norwood,Norwood,MA,42.200054,-71.188334,NULL,455,194,28052,NULL,3.369999886,42800
Southwest Acupuncture College-Santa Fe,Santa Fe,NM,35.661847,-105.949973,NULL,NULL,NULL,NULL,NULL,2.880000114,PrivacySuppressed
Northwest Technology Center-Alva,Alva,OK,36.786733,-98.675711,NULL,107,53,NULL,NULL,2.220000029,21000
Mercer County Career Center,Mercer,PA,41.250851,-80.248614,NULL,39,30,NULL,11092,3.549999952,31500
ITT Technical Institute-Knoxville,Knoxville,TN,35.92112,-84.088641,NULL,294,446,27971,NULL,3.269999981,42800
ITT Technical Institute-Austin,Austin,TX,30.322895,-97.698972,NULL,438,594,27428,NULL,3.410000086,42800
ITT Technical Institute-Houston North,Houston,TX,29.994458,-95.426431,NULL,645,459,27626,NULL,3.410000086,42800
California State University-San Marcos,San Marcos,CA,33.129115,-117.158013,948,11506,5005,17692,NULL,3.369999886,49300
Argosy University-Hawaii,Honolulu,HI,21.308026,-157.860916,NULL,419,NULL,25471,NULL,3.25,41300
Baptist Theological Seminary at Richmond,Henrico,VA,37.63249,-77.468501,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Brightwood College-Modesto,Salida,CA,37.713665,-121.087326,NULL,408,511,NULL,28854,7.269999981,22000
Kaplan University-Des Moines Campus,Urbandale,IA,41.64516,-93.779589,NULL,782,472,25179,NULL,3.130000114,39400
Hairmasters Institute of Cosmetology,Bloomington,IL,40.474666,-88.979416,NULL,106,77,NULL,11741,3.849999905,21200
Tricoci University of Beauty Cuture LLC-Bloomington,Bloomington,IN,39.181,-86.534713,NULL,65,32,NULL,11732,2.789999962,PrivacySuppressed
Pinnacle Career Institute-Lawrence,Lawrence,KS,38.94165,-95.254988,NULL,113,85,28942,NULL,2.940000057,21900
Interactive College of Technology-Newport,Newport,KY,39.086241,-84.478738,NULL,63,126,16220,NULL,3.440000057,25800
Career Technical College-Monroe,Monroe,LA,32.524328,-92.10098,NULL,623,174,23811,NULL,5.21999979,22900
Empire Beauty School-Lowell,Lowell,MA,42.642426,-71.308847,NULL,98,127,NULL,17663,3.150000095,26100
Ross Medical Education Center-Taylor,Taylor,MI,42.197907,-83.251788,NULL,89,18,NULL,24133,4.409999847,23700
McNally Smith College of Music,Saint Paul,MN,44.949678,-93.097556,NULL,473,265,36787,NULL,3.049999952,34800
National Tractor Trailer School Inc-Liverpool,Liverpool,NY,43.14248,-76.195097,NULL,146,65,NULL,16416,4.400000095,36100
Interactive College of Technology,Houston,TX,29.719295,-95.500467,NULL,40,103,NULL,12625,4.550000191,27100
Star Career Academy_Brick,Brick,NJ,40.030965,-74.14461,NULL,374,62,NULL,26381,3.650000095,PrivacySuppressed
New Castle Beauty Academy,New Castle,PA,40.999293,-80.34192,NULL,39,15,NULL,13112,3.5,17800
NorthWest Arkansas Community College,Bentonville,AR,36.357704,-94.17289,NULL,6568,4058,11518,NULL,3.440000057,37000
Madera Beauty College,Madera,CA,36.951505,-120.057761,NULL,37,59,NULL,19692,8.75,PrivacySuppressed
Colorado Heights University,Denver,CO,39.661853,-105.028197,NULL,107,90,8458,NULL,2.609999895,PrivacySuppressed
Brewster Technical College,Tampa,FL,27.96373,-82.461722,NULL,195,181,NULL,15797,4.440000057,20300
Hodges University,Naples,FL,26.277222,-81.741241,NULL,1680,421,23892,NULL,2.299999952,42400
Everest University-Lakeland,Lakeland,FL,28.052908,-81.945888,NULL,367,862,27103,NULL,3.160000086,28000
Argosy University-Atlanta,Atlanta,GA,33.92006,-84.356001,NULL,422,NULL,24854,NULL,3.25,41300
University of St Augustine for Health Sciences,San Marcos,CA,33.15173,-117.166111,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Capital Area School of Practical Nursing,Springfield,IL,39.718311,-89.626262,NULL,139,100,NULL,17476,3.539999962,34600
Hair Professionals Career College,Palos Hills,IL,41.701408,-87.816606,NULL,95,100,NULL,26254,3.539999962,25000
Alexandria School of Scientific Therapeutics,Alexandria,IN,40.255464,-85.674191,NULL,37,NULL,NULL,19172,3.380000114,PrivacySuppressed
Empire Beauty School-Bloomfield,Bloomfield,NJ,40.795445,-74.198658,NULL,156,195,NULL,18678,6.429999828,21400
Southwest Technology Center,Altus,OK,34.668194,-99.341161,NULL,67,92,NULL,23935,2.950000048,29200
Western Area Career & Technology Center,Canonsburg,PA,40.254722,-80.246117,NULL,76,28,NULL,13829,2.75999999,34600
Daymar Institute-Clarksville,Clarksville,TN,36.584261,-87.314033,NULL,513,254,29031,NULL,3.680000067,24500
Nossi College of Art,Madison,TN,36.24334,-86.738521,NULL,261,159,22471,NULL,3.220000029,24900
Seguin Beauty School-New Braunfels,New Braunfels,TX,29.701875,-98.12595,NULL,35,26,NULL,17643,3.359999895,19800
ITT Technical Institute-Norfolk,Norfolk,VA,36.87995,-76.218231,NULL,698,326,28073,NULL,3.369999886,42800
Pima Medical Institute-Seattle,Seattle,WA,47.699363,-122.325788,NULL,760,297,NULL,22406,3.650000095,29800
Mineral County Vocational Technical Center,Keyser,WV,39.42728,-78.98828,NULL,20,13,NULL,5340,3.779999971,PrivacySuppressed
Hypnosis Motivation Institute,Tarzana,CA,34.170344,-118.538932,NULL,75,31,NULL,37345,4.349999905,31000
Los Angeles ORT College-Los Angeles Campus,Los Angeles,CA,34.063876,-118.369383,NULL,306,674,NULL,24003,4.460000038,27200
Everest College-West Los Angeles,Los Angeles,CA,34.032458,-118.389485,NULL,340,318,29902,NULL,5.420000076,27900
Thanh Le College School of Cosmetology,Garden Grove,CA,33.788899,-117.908197,NULL,41,92,NULL,12007,4.070000172,20100
Southeastern Technical College,Vidalia,GA,32.20393,-82.365827,NULL,1349,1139,10476,NULL,3.380000114,24200
Massachusetts School of Law,Andover,MA,42.688042,-71.20203,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed
ITT Technical Institute-Albuquerque,Albuquerque,NM,35.164904,-106.59258,NULL,402,379,29394,NULL,3.960000038,42800
Community Services Division-Alliance City,Alliance,OH,40.912513,-81.112757,NULL,63,56,NULL,12486,3.269999981,21700
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,Orlando,FL,28.424285,-81.409713,NULL,2959,854,NULL,25827,3.339999914,37000
Erwin Technical College,Tampa,FL,27.997242,-82.435933,NULL,751,853,18287,NULL,3.680000067,30200
Rosel School of Cosmetology,Chicago,IL,41.997731,-87.691288,NULL,70,99,NULL,8529,3.410000086,21700
Worsham College of Mortuary Science,Wheeling,IL,42.147754,-87.927644,NULL,108,137,NULL,NULL,3.400000095,45300
Bryan University,Springfield,MO,37.13528,-93.247901,NULL,318,193,23463,NULL,3.630000114,27900
Oregon College of Oriental Medicine,Portland,OR,45.523897,-122.671146,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Central Pennsylvania Institute of Science and Technology,Pleasant Gap,PA,40.882223,-77.740423,NULL,243,14,NULL,15775,3.00999999,PrivacySuppressed
Northwest Educational Center,Houston,TX,29.814255,-95.473166,NULL,224,NULL,NULL,12609,4.789999962,23800
Sebring Career Schools-Houston,Houston,TX,29.704744,-95.645773,NULL,95,82,NULL,17822,4.010000229,19300
PCI Health Training Center,Dallas,TX,32.820076,-96.876324,NULL,495,196,NULL,21133,4.130000114,25400
Windham Memorial Hospital-Radiologic Technology Program,Willimantic,CT,41.71754,-72.225996,NULL,17,17,NULL,NULL,2.920000076,PrivacySuppressed
Miami-Jacobs Career College-Columbus,Columbus,OH,39.964155,-82.996903,NULL,366,112,27651,NULL,4.539999962,28700
Bryant & Stratton College-Eastlake,Eastlake,OH,41.639256,-81.43532,NULL,471,171,21789,NULL,4.96999979,24300
Hamrick School,Medina,OH,41.135812,-81.728742,NULL,121,NULL,NULL,15629,3.430000067,PrivacySuppressed
Alabama State College of Barber Styling,Gardendale,AL,33.64352,-86.809881,NULL,25,11,NULL,9307,2.690000057,PrivacySuppressed
Fortis College-Mobile,Mobile,AL,30.68405,-88.205531,NULL,352,586,25919,NULL,4.360000134,21900
Arkansas Beauty School,Conway,AR,35.093082,-92.44029,NULL,20,19,NULL,13868,4.059999943,PrivacySuppressed
Everest College-Ontario,Ontario,CA,34.046799,-117.558954,NULL,707,294,NULL,31851,4.019999981,25800
Downey Adult School,Downey,CA,33.919441,-118.116654,NULL,1210,NULL,NULL,5436,NULL,NULL
Heald College-Stockton,Stockton,CA,38.00361,-121.288042,NULL,1025,592,25518,NULL,6.53000021,33400
Heald College-Hayward,Hayward,CA,37.636589,-122.114939,NULL,943,1241,23227,NULL,4,39600
CRU Institute,Garden Grove,CA,33.790054,-118.029219,NULL,49,43,NULL,16457,3.779999971,17600
Modern Technology School,Fountain Valley,CA,33.723142,-117.918837,NULL,131,85,NULL,20684,NULL,40100
National Career Education,Rancho Cordova,CA,38.589642,-121.273156,NULL,141,184,NULL,20798,3.579999924,37100
Everest College-Anaheim,Anaheim,CA,33.839256,-117.959779,NULL,443,964,26364,NULL,4,27800
Thuy Princess Beauty College,Pomona,CA,34.057663,-117.748468,NULL,74,34,NULL,19131,NULL,PrivacySuppressed
North-West College-Glendale,Glendale,CA,34.148913,-118.255409,NULL,187,80,NULL,25300,4.78000021,27700
Everest College-City of Industry,City of Industry,CA,34.029444,-118.024591,NULL,889,352,25627,NULL,5.420000076,27900
Fremont College,Cerritos,CA,33.867773,-118.098316,NULL,387,265,NULL,25361,4.679999828,35400
Pomona Unified School District Adult and Career Education,Pomona,CA,34.053616,-117.776388,NULL,432,971,NULL,7992,5.099999905,22400
Universal College of Beauty Inc-Los Angeles 2,Los Angeles,CA,34.004239,-118.331741,NULL,20,35,NULL,22009,6.980000019,18700
IBMC College,Fort Collins,CO,40.522701,-105.045241,NULL,341,276,22996,NULL,3.210000038,24500
Xenon International Academy-Denver,Aurora,CO,39.676308,-104.848602,NULL,62,42,NULL,17569,2.650000095,27800
Academy of Cosmetology,Merritt Island,FL,28.394053,-80.70372,NULL,137,71,NULL,19036,3.039999962,14600
ITT Technical Institute-Lake Mary,Lake Mary,FL,28.750041,-81.366513,NULL,382,342,28677,NULL,3.869999886,42800
Sunstate Academy,Clearwater,FL,27.967041,-82.732693,NULL,205,57,NULL,25722,2.480000019,22100
Heritage Institute-Jacksonville,Jacksonville,FL,30.254003,-81.596021,NULL,285,22,NULL,23025,3.170000076,25300
Fortis College-Smyrna,Smyrna,GA,33.901335,-84.488628,NULL,642,389,26146,NULL,4.010000229,27700
Remington College-Honolulu Campus,Honolulu,HI,21.309273,-157.860023,NULL,442,409,25429,NULL,4.239999771,26700
Vatterott College-Des Moines,Des Moines,IA,41.628771,-93.648176,NULL,194,281,24112,NULL,3.599999905,37000
Brown Mackie College-Quad Cities,Bettendorf,IA,41.54318,-90.520551,NULL,369,108,23512,NULL,4.690000057,30300
Pivot Point Academy-Bloomingdale,Bloomingdale,IL,41.955935,-88.076665,NULL,133,140,NULL,18140,3.819999933,25800
Blalock's Professional Beauty College,Shreveport,LA,32.42649,-93.784351,NULL,17,NULL,NULL,14110,NULL,NULL
Diesel Driving Academy-Baton Rouge,Baton Rouge,LA,30.464937,-91.103813,NULL,290,NULL,NULL,16848,4.849999905,PrivacySuppressed
Jonesville Beauty School,Vidalia,LA,31.569543,-91.470706,NULL,36,38,NULL,12665,4.96999979,17300
New England Hair Academy,Malden,MA,42.427591,-71.066818,NULL,132,113,NULL,18522,2.869999886,PrivacySuppressed
Rob Roy Academy-Worcester,Worcester,MA,42.263846,-71.807605,NULL,176,286,NULL,19237,3.309999943,20000
Upper Cape Cod Regional Technical School,Bourne,MA,41.680209,-70.5953,NULL,70,28,NULL,23236,3.089999914,PrivacySuppressed
All-State Career-Baltimore,Baltimore,MD,39.264664,-76.544942,NULL,714,191,NULL,19066,4.869999886,35800
New England School of Communications,Bangor,ME,44.827204,-68.789883,NULL,334,93,NULL,NULL,3.279999971,30600
Everest Institute-Kalamazoo,Kalamazoo,MI,42.291618,-85.651009,NULL,168,132,NULL,31821,4.050000191,23700
Adler Graduate School,Richfield,MN,44.862865,-93.252532,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
Academy of Hair Design-Jackson,Jackson,MS,32.282646,-90.210517,NULL,86,76,NULL,12236,4.949999809,18400
KC's School of Hair Design,Pontotoc,MS,34.25548,-89.018658,NULL,94,NULL,NULL,16337,NULL,NULL
Mitchells Hairstyling Academy-Goldsboro,Goldsboro,NC,35.385225,-77.94802,NULL,14,36,NULL,11249,NULL,PrivacySuppressed
Lincoln Technical Institute-Moorestown,Moorestown,NJ,39.94847,-74.955631,NULL,559,892,NULL,26787,5.420000076,35400
Monmouth County Vocational School District,Freehold,NJ,40.26109,-74.252191,NULL,60,803,NULL,20955,3.569999933,36100
Brightwood College-Las Vegas,Las Vegas,NV,36.14358,-115.188431,NULL,944,253,NULL,24773,4.46999979,28000
Beauty School of Middletown,Middletown,NY,41.42455,-74.428691,NULL,73,61,NULL,19101,4.130000114,20700
Bryant & Stratton College-Southtowns,Orchard Park,NY,42.790182,-78.770366,NULL,517,215,20903,NULL,4.96999979,24300
National Tractor Trailer School Inc-Buffalo,Buffalo,NY,42.865334,-78.857766,NULL,130,25,NULL,18061,4.400000095,36100
Yeshiva Gedolah Imrei Yosef D'spinka,Brooklyn,NY,40.628855,-73.992774,NULL,122,18,16675,NULL,4.090000153,26200
Cleveland Institute of Dental-Medical Assistants-Mentor,Mentor,OH,41.714918,-81.341918,NULL,116,94,NULL,14798,4.659999847,22800
Cleveland Institute of Dental-Medical Assistants-Lyndhurst,Lyndhurst,OH,41.519637,-81.478573,NULL,64,50,NULL,14798,4.659999847,22800
Knox County Career Center,Mount Vernon,OH,40.375889,-82.475117,NULL,303,71,NULL,20285,3.420000076,25100
Madison Adult Career Center,Mansfield,OH,40.774328,-82.460912,NULL,150,37,NULL,14269,3.25999999,PrivacySuppressed
Remington College-Cleveland Campus,Cleveland,OH,41.422951,-81.579347,NULL,510,324,25760,NULL,4.789999962,23100
Brown Mackie College-Findlay,Findlay,OH,41.058515,-83.619502,NULL,369,160,22953,NULL,3.680000067,30300
Toledo Academy of Beauty Culture-East,OREGON,OH,41.638326,-83.46954,NULL,119,67,NULL,14177,4.619999886,15800
U S Grant Joint Vocational School,Bethel,OH,38.962824,-84.064771,NULL,25,31,9195,NULL,2.809999943,PrivacySuppressed
CC's Cosmetology College,Tulsa,OK,36.1329,-95.884981,NULL,46,108,NULL,18717,3.819999933,17800
Chisholm Trail Technology Center,Omega,OK,35.84221,-98.20184,NULL,76,20,NULL,5739,2.579999924,PrivacySuppressed
Gordon Cooper Technology Center,Shawnee,OK,35.380321,-96.908013,NULL,831,276,NULL,7768,3.420000076,32100
Kiamichi Technology Center-Atoka,Atoka,OK,34.395365,-96.153029,NULL,66,59,NULL,8406,3.619999886,25200
Kiamichi Technology Center-Durant,Durant,OK,33.945957,-96.406143,NULL,80,113,NULL,5074,3.619999886,25200
Kiamichi Technology Center-Hugo,Hugo,OK,34.00832,-95.494474,NULL,86,84,NULL,6363,3.619999886,25200
Kiamichi Technology Center-McAlester,McAlester,OK,34.924173,-95.745999,NULL,207,162,NULL,9840,3.619999886,25200
Kiamichi Technology Center-Idabel,Idabel,OK,33.92186,-94.774993,NULL,72,211,NULL,6771,3.619999886,25200
Kiamichi Technology Center-Poteau,Poteau,OK,35.0382,-94.633992,NULL,225,167,NULL,3722,3.619999886,25200
Kiamichi Technology Center-Spiro,Spiro,OK,35.240444,-94.628773,NULL,52,27,NULL,14442,3.619999886,25200
Kiamichi Technology Center-Talihina,Talihina,OK,34.765293,-95.092003,NULL,47,26,NULL,6280,3.619999886,25200
Le Cordon Bleu College of Culinary Arts-Portland,Portland,OR,45.520612,-122.681755,NULL,452,568,21719,NULL,3.640000105,32200
YTI Career Institute-Altoona,Altoona,PA,40.482439,-78.396073,NULL,334,150,NULL,12288,3.880000114,26800
Eastern Center for Arts and Technology,Willow Grove,PA,40.158544,-75.109688,NULL,106,51,NULL,18819,3.829999924,47500
Empire Beauty School-Center City Philadelphia,Philadelphia,PA,39.950932,-75.16608,NULL,349,199,NULL,20175,7.179999828,20600
Centro de Estudios Multidisciplinarios-Humacao,Humacao,PR,18.148771,-65.821107,NULL,695,270,10882,NULL,7.139999866,20500
