INSTNM,CITY,STABBR,ZIP,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LATITUDE,LONGITUDE,CCBASIC,CCUGPROF,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,UGDS,UG,NPT4_PUB,NPT4_PRIV,NPT4_PROG,NPT4_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,TUITFTE,PFTFTUG1_EF,AGE_ENTRY,UNEMP_RATE,COUNT_NWNE_P10,COUNT_WNE_P10,MN_EARN_WNE_P10,MD_EARN_WNE_P10,COUNT_NWNE_P6,COUNT_WNE_P6,MN_EARN_WNE_P6,MD_EARN_WNE_P6,COUNT_WNE_INC1_P6,COUNT_WNE_INC2_P6,COUNT_WNE_INC3_P6,COUNT_WNE_INDEP0_INC1_P6,COUNT_WNE_INDEP0_P6,COUNT_NWNE_P7,COUNT_WNE_P7,MN_EARN_WNE_P7,SD_EARN_WNE_P7,COUNT_NWNE_P8,COUNT_WNE_P8,MN_EARN_WNE_P8,MD_EARN_WNE_P8,COUNT_NWNE_P9,COUNT_WNE_P9,MN_EARN_WNE_P9,SD_EARN_WNE_P9,ICLEVEL
Paul Mitchell the School-Ogden,Ogden,UT,84401,3,1,1,3,49,7,41.2258,-111.974661,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,125,NULL,NULL,14509,NULL,NULL,NULL,17890,NULL,NULL,15275,6675,NULL,25.20677362,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,33,155,21000,18600,72,44,39,NULL,88,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,3
Everest Institute-Bensalem,Bensalem,PA,19020-2062,4,1,1,3,42,2,40.11428,-74.958991,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,244,NULL,NULL,22236,NULL,NULL,NULL,27330,NULL,NULL,18841,8803,NULL,27.3961825,NULL,375,1289,28100,24600,502,1493,22500,19700,809,435,249,NULL,515,NULL,NULL,NULL,NULL,558,1823,25100,22100,NULL,NULL,NULL,NULL,3
Golf Academy of America-Farmers Branch,Farmers Branch,TX,75234-8906,33,2,2,3,48,6,32.92271,-96.917171,13,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,NULL,NULL,22626,NULL,NULL,25981,NULL,17150,17150,NULL,19340,1,29.1293274,NULL,1090,4185,28900,25300,1382,5262,22200,20100,3827,1026,409,NULL,1070,NULL,NULL,NULL,NULL,1355,5095,24900,22000,NULL,NULL,NULL,NULL,2
Utah College of Massage Therapy-Dallas,Richardson,TX,75801-4848,9,1,1,3,48,6,32.938489,-96.740759,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,324,NULL,NULL,19116,NULL,NULL,NULL,21738,NULL,NULL,9947,7153,NULL,27.79453803,NULL,740,2233,27400,23800,785,2975,21900,19600,1561,887,527,NULL,1203,NULL,NULL,NULL,NULL,935,3206,25800,23000,NULL,NULL,NULL,NULL,3
Miami Ad School-New York,Astoria,NY,11106,4,1,1,3,36,2,40.75502,-73.924961,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17400,17400,NULL,13609,NULL,27.13586957,NULL,PrivacySuppressed,167,81700,70200,30,208,67900,62400,97,59,52,NULL,76,NULL,NULL,NULL,NULL,PrivacySuppressed,119,79100,72700,NULL,NULL,NULL,NULL,2
Dade Medical College-West Palm Beach,West Palm Beach,FL,33415,6,2,2,3,12,5,26.63903,-80.114371,10,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,263,NULL,NULL,21986,NULL,NULL,NULL,24521,NULL,NULL,47813,9058,NULL,32.66300106,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,50,266,19600,16900,239,26,PrivacySuppressed,NULL,54,NULL,NULL,NULL,NULL,40,162,21700,17300,NULL,NULL,NULL,NULL,2
Dade Medical College-Jacksonville,Jacksonville,FL,32225,6,2,2,3,12,5,30.3257,-81.550041,10,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,233,NULL,NULL,21134,NULL,NULL,NULL,22876,NULL,NULL,47813,4105,NULL,32.66300106,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,50,266,19600,16900,239,26,PrivacySuppressed,NULL,54,NULL,NULL,NULL,NULL,40,162,21700,17300,NULL,NULL,NULL,NULL,2
WestMed College,San Jose,CA,95128-0000,2,1,1,2,6,8,37.31738,-121.947591,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,366,NULL,NULL,27314,NULL,NULL,NULL,30521,NULL,NULL,32016,14019,NULL,27.22377622,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Larry's Barber College,Chicago,IL,60628-2322,1,1,1,3,17,3,41.70362,-87.643061,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,142,NULL,NULL,8015,NULL,NULL,NULL,12701,NULL,NULL,10050,3089,NULL,27.69047619,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Futura Career Institute,Hialeah,FL,33012-3325,1,1,1,3,12,5,25.863363,-80.306765,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,138,NULL,NULL,9139,NULL,NULL,14125,NULL,9000,9000,NULL,4845,NULL,35.78632479,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Access Careers,Brooklyn,NY,11201-5826,1,1,1,3,36,2,40.68946,-73.984111,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,286,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,700,3063,NULL,30.35338346,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Flair Beauty College,Canyon Country,CA,91351-3381,1,1,1,3,6,8,34.415668,-118.465941,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,NULL,NULL,8081,NULL,NULL,NULL,10228,NULL,NULL,14082,8024,NULL,25.08641975,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Eternity Cosmetology School,West Palm Beach,FL,33415-5719,1,1,1,3,12,5,26.65082,-80.116201,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,177,NULL,NULL,12471,NULL,NULL,NULL,16278,NULL,NULL,8360,6847,NULL,35.69058296,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Tri-State Institute of Hair Design,London,KY,40744,1,1,1,3,21,5,37.10299,-84.066427,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,NULL,NULL,17110,NULL,NULL,NULL,17840,NULL,NULL,10400,4107,NULL,29.56896552,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Vogue College of Cosmetology-San Antonio Fredericksburg,San Antonio,TX,78201-5035,1,1,1,3,48,6,29.46225,-98.523381,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116,NULL,NULL,13091,NULL,NULL,NULL,16254,NULL,NULL,14295,4240,NULL,31.16875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Vogue College of Cosmetology,San Antonio,TX,78238-4402,1,1,1,3,48,6,29.466311,-98.602906,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116,NULL,NULL,9236,NULL,NULL,NULL,12999,NULL,NULL,14295,4144,NULL,28.66666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Tomorrow's Image Barber Academy of Virginia,Newport News,VA,23602-5532,1,1,1,3,51,5,37.1182,-76.525081,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,11684,NULL,NULL,NULL,16410,NULL,NULL,17135,11161,NULL,29.46153846,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Excel Learning Center,El Paso,TX,79936,3,1,1,3,48,6,31.751702,-106.301942,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,171,NULL,NULL,11921,NULL,NULL,NULL,15632,NULL,NULL,14450,6188,NULL,29.74617737,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
College of International Esthetics Inc,Arvada,CO,80002-3754,1,1,1,3,8,7,39.79046,-105.075931,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,NULL,NULL,15767,NULL,NULL,NULL,18233,NULL,NULL,9920,13896,NULL,30.79865772,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Medical Allied Career Center,Santa Fe Springs,CA,90670-4710,1,1,1,3,6,8,33.9177,-118.062731,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,NULL,NULL,24198,NULL,NULL,NULL,29152,NULL,NULL,27954,7140,NULL,28.69117647,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Bais HaMedrash and Mesivta of Baltimore,Baltimore,MD,21209-1613,1,3,3,2,24,2,39.37968,-76.674591,24,10,8,0.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,NULL,NULL,10675,NULL,NULL,20200,NULL,12250,12250,NULL,26676,0.96,18.10344828,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
Long Island Barber Institute,Hempstead,NY,11550-6317,1,1,1,3,36,2,40.69983,-73.615341,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,NULL,NULL,13884,NULL,NULL,NULL,16502,NULL,NULL,6500,7261,NULL,29.68867925,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Salon Institute-Toledo Campus,Toledo,OH,43615-1731,1,1,1,3,39,3,41.67466,-83.697201,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,105,NULL,NULL,14827,NULL,NULL,NULL,17842,NULL,NULL,16350,9127,NULL,22.88888889,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
American Institute of Medical Sonography,Las Vegas,NV,89102,1,1,1,3,32,8,36.14634,-115.178061,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,NULL,NULL,32117,NULL,NULL,NULL,35464,NULL,NULL,20100,15783,NULL,29.57142857,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Curve Metric School of Hair Design,Elmwood Park,IL,60707-1118,1,1,1,3,17,3,41.93755,-87.818661,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47,NULL,NULL,4361,NULL,NULL,NULL,9837,NULL,NULL,9650,4822,NULL,29.43902439,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Athena Career Academy,Toledo,OH,43615,1,1,1,3,39,3,41.616622,-83.664756,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,165,NULL,NULL,19814,NULL,NULL,NULL,24075,NULL,NULL,20600,9058,NULL,30.25735294,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Yeshiva Gedolah Zichron Leyma,Linden,NJ,07036-3905,1,3,3,2,34,2,40.636528,-74.265525,24,10,8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,2450,NULL,NULL,18200,NULL,11500,11500,NULL,2008,0.8571,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
The Barber School,Midvale,UT,84047-3723,1,1,1,3,49,7,40.620753,-111.891658,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,187,NULL,NULL,14758,NULL,NULL,NULL,18177,NULL,NULL,8700,8592,NULL,29.64814815,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Be'er Yaakov Talmudic Seminary,Spring Valley,NY,10977-1912,1,3,3,2,36,2,41.139404,-74.028483,24,10,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,382,NULL,NULL,5784,NULL,NULL,16276,NULL,8350,8350,NULL,8325,0.9918,18.89705882,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
RGV Careers,Pharr,TX,78577-2106,1,1,1,3,48,6,26.20743,-98.198681,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,524,NULL,NULL,18750,NULL,NULL,NULL,20011,NULL,NULL,22580,8623,NULL,28.98295455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Alexander Academy,Fitchburg,MA,01420-0000,1,1,1,3,25,1,42.58544,-71.812241,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,NULL,NULL,21629,NULL,NULL,NULL,25080,NULL,NULL,13440,5886,NULL,26.89855073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
LeMelange Academy of Hair,Napa,CA,94558-2935,1,1,1,3,6,8,38.298372,-122.286831,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19485,12009,NULL,27.45783133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Aveda Institute-Tucson,Tucson,AZ,85719-4876,2,1,1,3,4,6,32.23271,-110.957371,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,140,NULL,NULL,15019,NULL,NULL,NULL,19322,NULL,NULL,17200,6702,NULL,24.73773987,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Velvet Touch Academy of Cosmetology,Nampa,ID,83687-5020,1,1,1,3,16,7,43.605065,-116.510482,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,NULL,NULL,12583,NULL,NULL,NULL,16410,NULL,NULL,14500,2839,NULL,27.53763441,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
Ambiance Beauty & Barber Academy Inc,Melbourne,FL,32935-8771,1,1,1,3,12,5,28.117854,-80.672628,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,NULL,NULL,18840,NULL,NULL,NULL,22439,NULL,NULL,10916,8948,NULL,32.21428571,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Diamond Beauty College,South El Monte,CA,91733-2180,1,1,1,3,6,8,34.06319,-118.046471,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,146,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200,2331,NULL,33.76923077,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Unitek College,South San Francisco,CA,94080-1005,2,1,1,3,6,8,37.65661,-122.455951,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27020,13131,NULL,27.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
University Academy of Hair Design,Northport,AL,35476-3100,1,1,1,3,1,5,33.24135,-87.589651,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,NULL,8961,NULL,NULL,NULL,11940,NULL,NULL,9070,6616,NULL,24.35087719,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Florida Institute of Recording Sound and Technology,Orlando,FL,32804-3309,1,1,1,3,12,5,28.57897,-81.411511,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20118,NULL,25.18781726,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
New Dimensions Beauty Academy Inc,Parker,CO,80138-9801,1,1,1,3,8,7,39.53453,-104.766551,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57,NULL,NULL,13929,NULL,NULL,NULL,17342,NULL,NULL,15600,11031,NULL,26.98461539,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
Jolei's Hair Institute,LAKE CITY,SC,29560-9337,1,1,1,3,45,5,33.878269,-79.768759,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,10145,NULL,NULL,NULL,14270,NULL,NULL,14275,3251,NULL,30.58333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Paul Mitchell the School-Reno,Reno,NV,89502,1,1,1,3,32,8,39.50919,-119.803631,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,180,NULL,NULL,16463,NULL,NULL,NULL,19511,NULL,NULL,16000,8608,NULL,24.96135266,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
Boise Barber College,Boise,ID,83704-5919,1,1,1,3,16,7,43.632447,-116.274287,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,NULL,NULL,14954,NULL,NULL,NULL,16415,NULL,NULL,8883,4765,NULL,28.49473684,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
Austin Kade Academy,Idaho Falls,ID,83404-5540,1,1,1,3,16,7,43.482759,-112.000731,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,193,NULL,NULL,14811,NULL,NULL,NULL,17458,NULL,NULL,12900,4452,NULL,25.52258065,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
Aesthetic Science Institute,Latham,NY,12110-1095,1,1,1,3,36,2,42.771267,-73.822225,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66,NULL,NULL,8172,NULL,NULL,NULL,10007,NULL,NULL,7500,10355,NULL,29.01052632,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Elaine Sterling Institute,Sandy Springs,GA,30342-2633,1,1,1,3,13,5,33.88695,-84.382241,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,167,NULL,NULL,27945,NULL,NULL,NULL,30432,NULL,NULL,12215,8554,NULL,30.31100479,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Wade Gordon Hairdressing Academy,Amarillo,TX,79121-0548,1,1,1,3,48,6,35.186455,-101.926877,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97,NULL,NULL,20010,NULL,NULL,NULL,23696,NULL,NULL,16100,6500,NULL,24.54109589,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Mitsu Sato Hair Academy,Overland Park,KS,66212-1457,1,1,1,3,20,4,38.96481,-94.670221,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54,NULL,NULL,12587,NULL,NULL,NULL,16405,NULL,NULL,13515,11151,NULL,27.45614035,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
SAE Institute of Technology-Los Angeles,Los Angeles,CA,90038,2,1,1,3,6,8,34.0904,-118.336861,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,259,NULL,NULL,30054,NULL,NULL,NULL,33423,NULL,NULL,19397,9648,NULL,25.13856813,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
Florida Vocational Institute,Miami,FL,33144,1,1,1,3,12,5,25.769907,-80.323999,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5814,NULL,37.05882353,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
SAE Institute of Technology-Atlanta,Atlanta,GA,30303-1736,1,1,2,3,13,5,33.75992,-84.387151,11,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,374,NULL,NULL,22598,NULL,NULL,NULL,25777,NULL,NULL,18040,20222,NULL,25.92511701,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
Academy di Firenze,Jerome,ID,83338-2329,1,1,1,3,16,7,42.72382,-114.519781,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,8991,NULL,NULL,NULL,14489,NULL,NULL,12120,3535,NULL,28.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
